user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,is_valid_pan,is_valid_aadhaar
USR16112,Dhriti Deshmukh,SEJAA8194O,7156-5832-0763,1967-06-04 00:14:00,Mumbai,Maharashtra,35119.0,Retired,2025-12-02 02:18:16,VERIFIED,LOW,True,True
USR17216,Megha Jani,QT0ZZ5561X,0234-1202-5028,,Lucknow,Uttar Pradesh,80907.0,Freelancer,2024-01-31 00:00:00,VERIFIED,MEDIUM,False,True
USR45454,Panini Lal,QCNTL9489O,2781-6299-9816,,Kolkata,West Bengal,11214.0,Farmer,2026-01-30 23:57:18,PENDING,HIGH,True,True
USR46189,Jack Parikh,RRVUI4059Q,0667-8032-7731,,Amritsar,Punjab,27300.0,Student,2025-09-04 00:00:00,VERIFIED,LOW,True,True
USR85256,Eta Ravi,YGVOI9236W,1762-5881-7110,1969-02-19 08:25:23,Delhi,Delhi,24705.0,Salaried,2026-02-03 00:00:00,VERIFIED,LOW,True,True
USR20918,Vanya Chad,JDGOH0074Y,8944-6378-9078,1961-04-20 00:00:00,Bengaluru,Karnataka,14124.0,Self Employed,2024-04-25 00:00:00,REJECTED,MEDIUM,True,True
USR22494,Nirja Shetty,JWZVO4240H,5277-1363-3780,1990-09-05 00:00:00,Chennai,Tamil Nadu,16160.0,Retired,,REJECTED,MEDIUM,True,False
USR34742,Ati Dash,OOQCG9609N,9850-4878-0290,1962-12-20 00:00:00,Jaipur,Rajasthan,43738.0,Unemployed,2025-07-25 00:00:00,VERIFIED,HIGH,True,True
USR83137,Ria Kale,,4902-6162-5104,2005-09-09 00:00:00,Jaipur,Rajasthan,25151.0,Freelancer,2024-03-04 00:00:00,PENDING,LOW,False,False
USR99161,Jalsa Malhotra,QLSKS5105S,9443-0037-1193,1963-05-20 05:27:00,Jalandhar,Punjab,8083.0,Retired,,REJECTED,LOW,True,True
USR16625,Anika Vora,CACWZ2722S,0179-7994-0718,,Lucknow,Uttar Pradesh,28634.0,Unemployed,2026-03-08 00:00:00,VERIFIED,MEDIUM,True,True
USR65060,Anirudh Bhatnagar,AIWTB3506U,2501-3367-2210,2003-06-16 00:00:00,Jaipur,Rajasthan,30875.0,Student,2024-05-24 07:29:05,VERIFIED,LOW,True,False
USR13678,Reva Jaggi,KWLPY9915,5774-7948-9696,1982-05-27 00:00:00,Jaipur,Rajasthan,24200.0,Gig Worker,2024-02-16 00:00:00,PENDING,LOW,False,True
USR78719,Indirachaudhary,VGLXS2856D,6244-9453-8280,1977-04-17 07:18:29,Ludhiana,Punjab,20231.0,Student,2024-01-30 00:00:00,VERIFIED,LOW,True,True
USR83333,Gautam Bajwa,HLNXD7947Q,8469-5017-6261,1969-08-24 03:28:00,Hyderabad,Telangana,24890.0,Freelancer,2025-07-10 08:23:10,REJECTED,LOW,True,True
USR53554,Hemani Behl,SIBUO4381D,4488-3277-8808,1968-09-20 20:31:53,Delhi,Delhi,26617.0,Business Owner,2024-01-03 00:50:12,VERIFIED,LOW,True,True
USR77711,Warinder Solanki,MFDIC1823G,XXXX-XXXX-5406,1987-07-15 00:00:00,Pune,Maharashtra,81093.0,Gig Worker,2025-04-06 14:45:00,PENDING,HIGH,True,True
USR69726,Rudra Lal,CXBKD3190N,9760-7303-5125,1995-08-28 01:04:47,Kolkata,West Bengal,17700.0,Student,2024-12-30 00:00:00,VERIFIED,LOW,True,True
USR53544,Daniel Gokhale,UFLEH5366C,,1998-07-16 00:00:00,Lucknow,Uttar Pradesh,32124.0,Self Employed,2025-10-12 00:00:00,VERIFIED,HIGH,True,False
USR57699,Advik Om,MXMQW7893W,XXXX-XXXX-1365,1999-04-26 00:00:00,Lucknow,Uttar Pradesh,19875.0,Freelancer,2024-04-06 00:00:00,VERIFIED,LOW,True,True
USR53382,Mekhala Golla,BOBCZ3795L,6526-6080-7695,1967-06-02 00:00:00,Hyderabad,Telangana,13098.0,Retired,2026-01-12 00:00:00,VERIFIED,LOW,True,True
USR26959,Ganga Pai,JXFNR4730M,1494-4927-2703,1966-07-04 00:00:00,Amritsar,Punjab,19624.0,Retired,2026-02-12 00:00:00,VERIFIED,UNKNOWN,True,True
USR13068,Megha Chandra,AVJUN6708Q,2829-0979-8427,1993-10-09 13:31:00,Kolkata,West Bengal,25378.0,Self Employed,2024-02-18 00:00:00,VERIFIED,LOW,True,True
USR32767,Sanya Dalal,HBFFH5169P,5842-8003-4012,1964-01-18 00:00:00,Delhi,Delhi,17051.0,Gig Worker,2024-11-10 00:00:00,VERIFIED,HIGH,True,True
USR86400,Qadim Nayak,AQHFS2686A,9452-8737-2343,1978-06-09 00:00:00,Hyderabad,Telangana,19485.0,Retired,2026-02-06 04:09:04,VERIFIED,LOW,True,True
USR72012,Liam Varkey,CNIVL5277X,XXXX-XXXX-0556,2004-08-25 00:00:00,Mumbai,Maharashtra,23591.0,Salaried,2025-09-08 15:25:17,PENDING,LOW,True,True
USR65078,Anamika Chaudhary,EYKUP2541J,8718-5560-6283,1987-09-01 00:00:00,Jaipur,Rajasthan,16714.0,Freelancer,2024-10-11 16:26:00,VERIFIED,LOW,True,True
USR37121,Bhavika Thaker,MKYUT2802M,0154-9673-2243,1983-07-29 00:00:00,Bengaluru,Karnataka,31824.0,Self Employed,2025-02-16 00:00:00,VERIFIED,LOW,True,True
USR64308,Vedant Lalla,,8439-3768-1323,1990-02-13 00:00:00,Kolkata,West Bengal,10907.0,Retired,2026-03-08 00:00:00,VERIFIED,MEDIUM,False,True
USR13880,Krisha Borra,YWBSY7212H,,2003-09-23 00:00:00,Hyderabad,Telangana,21188.0,Farmer,2024-06-29 05:51:04,VERIFIED,LOW,True,False
USR56830,Ekapad Dalal,FPHDL6481K,7446-9847-1442,1960-12-23 00:00:00,Jaipur,Rajasthan,22808.0,Business Owner,2024-12-05 18:28:30,VERIFIED,HIGH,True,True
USR95322,Advik Sahota,QEHZG5598Z,7388-6786-1215,1974-09-25 08:42:24,Kolkata,West Bengal,35085.0,Farmer,2024-03-12 00:00:00,VERIFIED,HIGH,True,True
USR23760,Saksham Dave,XSGLB7836O,9820-0302-7776,2003-10-20 16:41:57,Lucknow,Uttar Pradesh,28593.0,Gig Worker,2024-04-07 00:00:00,VERIFIED,MEDIUM,True,True
USR28092,Jack Lanka,VANEO2162B,9950-5055-9108,1990-09-14 00:00:00,Delhi,Delhi,47900.0,Freelancer,2024-12-27 00:00:00,VERIFIED,LOW,True,True
USR41268,Onkar Ratta,MTPRE0507U,0959-7464-2287,2006-08-28 00:00:00,Jalandhar,Punjab,35166.0,Retired,2024-08-09 00:00:00,PENDING,LOW,True,True
USR61809,Arjun Chander,JAWRM6042P,4329-8516-8205,1987-10-09 02:54:13,Lucknow,Uttar Pradesh,13796.0,Freelancer,2025-07-31 01:04:55,VERIFIED,LOW,True,True
USR86464,Tanay Sinha,HCUCZ8229X,4466-8771-6426,1985-12-29 21:02:19,Ldh,Punjab,12686.0,Business Owner,2026-01-05 00:00:00,VERIFIED,MEDIUM,True,True
USR29929,Yamini Kade,BZKKN4437J,0253-9690-4187,1978-02-20 00:00:00,Lucknow,Uttar Pradesh,42360.0,Business Owner,2025-09-16 00:00:00,PENDING,LOW,True,True
USR75086,Caleb Mammen,JVXFL4848V,5605-4506-7480,2003-08-30 00:00:00,Ldh,Punjab,47600.0,Farmer,2025-04-11 21:28:00,PENDING,UNKNOWN,True,True
