merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
MCH2849,"Bhavsar, Kota And Zacharia",7011,Hotels & Lodging,Private Limited,Ludhiana,Punjab,2025-09-23 00:00:00,,INACTIVE,2432.18
MCH4314,Deshmukh Ltd,5699,Apparel & Clothing,Private Limited,Jalandhar,Punjab,,3021439858,INACTIVE,986.05
MCH1986,"Bains, Chanda And Gh0Sh",5311,Department Stores,Individual,Jalandhar,Punjab,2026-10-01 00:00:00,,ACTIVE,1427.52
MCH3899,Goswami-Bath,4131,Transportation,Sole Proprietorship,Hyderabad,Telangana,2023-01-14 00:00:00,,ACTIVE,1271.48
MCH4859,Vasa-Raju,5812,Restaurants & Dining,Sole Proprietorship,Hyderabad,Telangana,2025-03-17 02:59:45,XXXX9523,ACTIVE,214.0
MCH6848,Dora Llc,5311,Department Stores,Partnership,Chennai,Tamil Nadu,2025-09-20 22:23:18,DUSD7272281625368,ACTIVE,1272.49
MCH9933,Bali-Zachariah,5411,Grocery Stores,Sole Proprietorship,Jaipur,Rajasthan,2023-07-06 00:00:00,TWPF4694358713410,ACTIVE,1549.0
MCH2637,Joshi Group,5999,Miscellaneous Retail,Partnership,Chennai,Tamil Nadu,2025-02-20 00:00:00,,ACTIVE,760.41
MCH8708,"Mukherjee, Sami And Purohit",5999,Miscellaneous Retail,Sole Proprietorship,Hyderabad,Telangana,2026-01-28 00:00:00,,SUSPENDED,2919.92
MCH2430,Bora Group,4814,Telecommunication Services,Individual,Amritsar,Punjab,2026-01-27 15:52:53,2955352677,ACTIVE,827.43
MCH8556,"Rout, Dhillon And Sinha",5942,Books & Stationery,Sole Proprietorship,Jaipur,Rajasthan,2023-04-05 17:49:00,,ACTIVE,
MCH9997,"Kalita, Dass And Balay",5999,Miscellaneous Retail,Individual,Ludhiana,Punjab,2023-07-12 00:00:00,XXXX2557,ACTIVE,2233.91
MCH7003,"Koshy, Samra And Chana",5942,Books & Stationery,Private Limited,Jalandhar,Punjab,2024-06-29 00:00:00,XXXX7569,ON_HOLD,776.99
MCH6945,Barad Llc,5311,Department Stores,Partnership,Ludhiana,Punjab,2025-09-13 06:55:00,,ACTIVE,3350.77
MCH4323,"Ben, Wagle And Shan",5812,Restaurants & Dining,Sole Proprietorship,Chennai,Tamil Nadu,2023-05-11 05:53:16,4367668757,SUSPENDED,
MCH1405,Sawhney-Naru1A,5912,Pharmacies & Healthcare,Sole Proprietorship,Lucknow,Uttar Pradesh,2024-12-31 00:00:00,,SUSPENDED,3091.86
MCH9459,Bala And Sons,5411,Grocery Stores,Partnership,Chennai,Tamil Nadu,2023-11-12 00:00:00,,ACTIVE,558.21
MCH7645,Majumdar-Nagarajan,5912,Pharmacies & Healthcare,Sole Proprietorship,Amritsar,Punjab,2024-09-21 00:00:00,7530870851,ACTIVE,1396.81
MCH9620,Chad Plc,5999,Miscellaneous Retail,Individual,Ludhiana,Punjab,2025-04-16 00:00:00,HEOY8360949899311,ACTIVE,786.55
MCH9815,"Narasimhan, Vasa And Goswami",5942,Books & Stationery,Individual,Delhi,Delhi,2025-10-11 04:53:00,MZNM1643262942719,ACTIVE,528.91
MCH5251,"Rana, Chandra And Tank",4131,Transportation,Partnership,Mumbai,Maharashtra,,,INACTIVE,3641.26
MCH2934,Warri0R-Siba1,5999,Miscellaneous Retail,Individual,Amritsar,Punjab,2025-04-07 00:00:00,,ACTIVE,
MCH3140,"Zachariah,Rajagopalandsamra",4814,Telecommunication Services,Private Limited,Amritsar,Punjab,2023-09-04 17:37:45,,ACTIVE,363.21
MCH2833,Kapoor-Shankar,7011,Hotels & Lodging,Sole Proprietorship,Jalandhar,Punjab,,VEQH1532066637768,ACTIVE,474.69
MCH6397,"Suri, Agrawal And Natarajan",5942,Books & Stationery,Partnership,Delhi,Delhi,2024-08-19 00:00:00,,ACTIVE,547.0
MCH2749,Issac And Sons,5912,Pharmacies & Healthcare,Sole Proprietorship,Mumbai,Maharashtra,2025-03-09 00:00:00,1616970087,ACTIVE,
MCH5089,Korpal-Parmer,5311,Department Stores,Private Limited,Jaipur,Rajasthan,2024-06-14 00:00:00,,ACTIVE,3730.0
MCH5112,Nigam-Chawla,4131,Transportation,Private Limited,Chennai,Tamil Nadu,2025-06-09 00:00:00,,INACTIVE,353.3
MCH9951,Natt Group,5912,Pharmacies & Healthcare,Partnership,Chennai,Tamil Nadu,2024-02-05 00:00:00,TSMH8783182679043,ACTIVE,1765.37
MCH4962,Venkataraman-Mannan,5942,Books & Stationery,Private Limited,Chennai,Tamil Nadu,2025-07-15 06:02:14,8238766790,ACTIVE,266.61
MCH1541,Bhattacharyya-Hans,7011,Hotels & Lodging,Private Limited,Kolkata,West Bengal,2024-03-24 00:00:00,XXXX2848,ACTIVE,621.01
MCH3442,Kuruvilla Ltd,5411,Grocery Stores,Partnership,Hyderabad,Telangana,2023-11-04 00:00:00,,INACTIVE,1281.68
MCH9993,Chadha-Tailor,5942,Books & Stationery,Private Limited,Ludhiana,Punjab,2026-01-05 00:00:00,,INACTIVE,2368.65
MCH8365,Som-Dhar,5999,Miscellaneous Retail,Individual,Pune,Maharashtra,2025-08-30 00:00:00,,ACTIVE,269.48
MCH2536,Divan-Radhakrishnan,4131,Transportation,Private Limited,Poona,Maharashtra,2025-07-09 00:00:00,NWSY9894058484946,ACTIVE,
MCH6777,Lall-Date,5411,Grocery Stores,Partnership,Lucknow,Uttar Pradesh,2023-12-20 14:05:11,XXXX6676,ACTIVE,1143.87
MCH8152,Chaudhari Plc,5912,Pharmacies & Healthcare,Sole Proprietorship,Jalandhar,Punjab,2023-07-24 20:56:00,,ACTIVE,1648.01
MCH2665,"Arora, Bir And Mahal",5311,Department Stores,Sole Proprietorship,Lucknow,Uttar Pradesh,2024-11-15 20:23:00,3459659161,INACTIVE,2101.74
MCH1384,Thakur-Ben,4814,Telecommunication Services,Individual,Hyderabad,Telangana,2023-11-04 00:00:00,,ACTIVE,1433.16
MCH4729,Parmer-Kulkarni,5311,Department Stores,Individual,Bengaluru,Karnataka,2023-03-09 15:34:00,,ACTIVE,1384.93
MCH6326,"Barad,Murtyandtella",5942,Books & Stationery,Private Limited,Chennai,Tamil Nadu,2024-06-22 18:08:00,LQXK9607455160094,ACTIVE,671.62
MCH5563,"Dubey, Wali And Yadav",5699,Apparel & Clothing,Sole Proprietorship,Kolkata,West Bengal,2024-01-28 00:00:00,5163059320,ACTIVE,2198.0
MCH3063,Bansal Inc,4131,Transportation,Individual,Jaipur,Rajasthan,2025-07-02 00:00:00,,INACTIVE,282.67
MCH7974,"Verma, Koshy And Bhardwaj",5411,Grocery Stores,Individual,Jaipur,Rajasthan,2023-10-04 00:00:00,7985944544,ACTIVE,460.5
MCH5575,Sandal Llc,5411,Grocery Stores,Partnership,Chennai,Tamil Nadu,2024-02-13 00:00:00,XXXX5528,ACTIVE,5255.72
MCH7433,"Sahota, Desai And Sarma",5999,Miscellaneous Retail,Individual,Pune,Maharashtra,2024-02-24 00:00:00,,ACTIVE,867.14
MCH1454,Wableinc,5999,Miscellaneous Retail,Individual,Lucknow,Uttar Pradesh,2025-06-18 00:00:00,7787448001,ACTIVE,2617.0
MCH1331,"Garg, Bobal And Jain",4131,Transportation,Individual,Kolkata,West Bengal,2024-06-29 00:00:00,,ACTIVE,3720.61
MCH1168,Sekhon Inc,5411,Grocery Stores,Sole Proprietorship,Hyderabad,Telangana,2025-07-26 21:06:00,,ACTIVE,6003.0
MCH5283,"Verma, Narasimhan And Balan",5912,Pharmacies & Healthcare,Individual,Delhi,Delhi,2026-02-05 00:00:00,,INACTIVE,1266.0
MCH2698,Kalallc,7011,Hotels & Lodging,Individual,Lucknow,Uttar Pradesh,2023-08-19 00:00:00,YXNF3515433387898,INACTIVE,3590.19
MCH6451,Chandran Group,5311,Department Stores,Individual,Jalandhar,Punjab,2025-10-07 00:00:00,5694147499,INACTIVE,165.95
MCH2255,Lal Ltd,5311,Department Stores,Individual,Jaipur,Rajasthan,2023-05-29 00:00:00,6674150314,ACTIVE,1404.67
MCH7312,Ramakrishnan-Banerjee,5311,Department Stores,Sole Proprietorship,Mumbai,Maharashtra,2024-02-24 11:03:00,CCCL8077324997121,ACTIVE,977.96
MCH8549,"Amb1E, Sangha And C0Mar",4814,Telecommunication Services,Individual,Ludhiana,Punjab,2026-01-12 00:00:00,XXXX7799,ACTIVE,1130.69
MCH9784,Lal Ltd,5812,Restaurants & Dining,Partnership,Chennai,Tamil Nadu,2024-12-28 05:21:00,XXXX3001,ACTIVE,1442.84
MCH5395,"Dada, Jani And Kaul",5942,Books & Stationery,Partnership,Chennai,Tamil Nadu,2025-03-06 00:00:00,,ACTIVE,698.53
MCH6067,Chaw1A-Gangu1Y,7011,Hotels & Lodging,Sole Proprietorship,Mumbai,Maharashtra,2025-12-03 00:00:00,FNQE1460028710860,INACTIVE,700.95
MCH4786,Edwin Plc,5699,Apparel & Clothing,Individual,Ludhiana,Punjab,2024-12-15 00:00:00,4903394968,ACTIVE,3435.22
